ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
29.4354,-0.5125,SER,-99,0.0545,19.5308,19.1356,18.8875
29.4368,11.8903,EXP,-99,0.3825,21.0802,19.7731,19.0565
29.4374,-18.3113,SER,-99,0.7764,22.4288,20.411,18.5972
29.4406,-60.8466,DEV,-99,0.2549,19.2669,18.1064,17.3949
29.4488,0.8491,SER,-99,0.2291,18.8146,17.6639,16.9771
29.4497,17.4306,DEV,-99,0.6634,22.4381,20.5462,18.9844
29.4512,-46.36,SER,-99,0.5127,20.8742,18.9236,17.7096
29.452,-8.5735,SER,-99,0.1613,19.2045,18.4485,17.8227
29.456,-45.6279,SER,-99,0.3129,19.313,17.7353,16.9354
29.4562,-52.5907,SER,-99,0.1746,19.224,18.2637,17.5093
29.4586,-2.8058,DEV,-99,0.9017,23.3765,21.2573,19.2242
29.4607,21.7358,DEV,0.7123,0.7062,21.8879,19.8597,18.1395
29.4702,-24.5384,SER,-99,0.5053,22.5521,20.5963,19.4547
29.4711,-2.484,SER,0.4776,0.4677,21.47,19.5885,18.5058
